                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5061,                 2.7967,                 1.7796,                0.12836,                0.26812,                 0.0924,                0.02986,                 2.6939,                 4.1246,                 2.8515,             0.00066231,             0.00066231,             0.00066231
                      2,                 1.5149,                 2.5719,                  1.795,                0.11761,                0.15942,                0.04372,                0.01198,                 2.8107,                 3.3328,                 2.7174,              0.0013208,              0.0013208,              0.0013208
                      3,                 1.5579,                 2.5423,                 1.8288,                0.19151,                0.25725,                0.13183,                 0.0506,                 2.3302,                 4.3238,                 2.7582,              0.0019709,              0.0019709,              0.0019709
                      4,                 1.5142,                 2.4641,                 1.8092,                0.24548,                0.27899,                0.18379,                0.06733,                  2.328,                 2.9876,                 2.4664,              0.0019629,              0.0019629,              0.0019629
                      5,                 1.4332,                 2.3393,                 1.7305,                0.15419,                0.11232,                 0.0735,                0.03151,                 1.9165,                 3.2829,                 2.0836,              0.0019629,              0.0019629,              0.0019629
                      6,                 1.4078,                  2.307,                 1.7144,                 0.4384,                 0.3988,                0.31623,                0.14433,                 1.9678,                 2.6932,                 2.0849,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.3524,                 2.2014,                 1.6692,                0.31008,                0.25362,                0.23466,                0.10687,                 2.0715,                 2.8351,                 2.2126,              0.0019381,              0.0019381,              0.0019381
                      8,                 1.3318,                 2.1154,                 1.6426,                0.45165,                0.27174,                0.32149,                 0.1486,                 2.0066,                  2.939,                  2.168,              0.0019258,              0.0019258,              0.0019258
                      9,                 1.2882,                  2.033,                 1.6163,                 0.5439,                0.44071,                0.45369,                0.22682,                 1.6003,                 2.2528,                 1.7136,              0.0019134,              0.0019134,              0.0019134
                     10,                 1.2374,                 1.9693,                 1.5773,                  0.377,                0.43631,                0.38509,                0.21149,                 1.6454,                 2.4407,                  1.754,               0.001901,               0.001901,               0.001901
                     11,                 1.2386,                 1.9307,                 1.5776,                0.55596,                0.42643,                0.42321,                0.23841,                 1.6423,                 2.2344,                 1.7858,              0.0018886,              0.0018886,              0.0018886
